Disease,Symptoms
COPD,"Wheezing, chest tightness, significant shortness of breath, significant persistent cough, acute exacerbation difficulty breathing, fatigue, cyanosis, pursed-lip breathing, unexplained weight loss, producing mucus, morning cough, worse in the morning, triggered by irritants, lifelong."
Tuberculosis,"Night sweats, related to mild fever, mild weight loss, significant coughing up blood, swollen lymph nodes, chest pain, significant weakness, mild unintended weight loss."
Pneumonia,"Intermittent fever, persistent cough, chest pain, intermittent blue lips, shallow breathing, malaise, intermittent decreased breath sounds, low-grade chills, coughing up mucus."
Lung Cancer,"Unresolved, unexplained weight loss, obviously concerning chest pain, typically persistent shortness of breath, typically unexplained unexplained fever, consistently concerning headache, obviously concerning pathological fractures, induced by respiratory infections."
Pneumonia,"Severe chest pain, shortness of breath, fever with mild confusion, cyclical."
Lung Cancer,"Severe chest pain, weight loss, difficulty swallowing, shoulder pain, facial swelling, recurring respiratory infections with mild shortness of breath, persistent cough."
Pneumonia,"Fever coupled with shortness of breath accompanied by chest pain along with difficulty breathing (consistently acute) in combination with malaise, amplified by stress."
Tuberculosis,"Significant coughing up blood, connected with persistent weight loss, significant fever, night sweats, feverish at night, moderate weakness, chills, pleural effusion."
Heart Failure,"Severe swollen ankles with mild rapid heartbeat, fatigue, reduced exercise tolerance, need to sleep upright."
Pleural Effusion,"Dry cough, positional dyspnea and shortness of breath (mainly substantial) linked to fever, pleurisy and rapid heart rate (mainly substantial) in conjunction with pleural friction rub, night sweats and chest pain (mainly severe) related to orthopnea, increased with movement."
Lung Cancer,"Progressive shortness of breath, progressive coughing up blood, extreme shoulder pain, extreme superior vena cava syndrome, periodic."
Tuberculosis,"Concerning coughing up blood, concurrent with progressive persistent cough, progressive night sweats, persistent weight loss, concerning joint pain, intermittent."
Heart Failure,"Swollen ankles, moderate fatigue, increasing rapid heartbeat, increasing swollen legs, paroxysmal nocturnal dyspnea, irregular heartbeat, jugular vein distention, moderate decreased alertness, moderate difficulty breathing when lying down, moderate S3 heart sound."
Heart Failure,"Initially presenting with shortness of breath, swollen legs, swollen ankles, Eventually developing loss of appetite, difficulty breathing when lying down, rapid heartbeat."
Pleural Effusion,"Severe chest pain, fever, difficulty breathing when lying down, pleuritic pain, decreased breath sounds with mild dry cough, shortness of breath, inability to lie flat, rapid heart rate, unilateral symptoms."
Pneumothorax,"Sharp sudden sharp chest pain (significantly life-threatening), simultaneous with crushing rapid breathing, shortness of breath, crushing racing heart rate, increased respiratory rate, crushing unilateral chest pain, restlessness, relapsing."
COPD,"Severe shortness of breath, chest tightness, difficulty breathing, producing mucus, distant heart sounds with mild persistent cough, use of accessory muscles for breathing, intermittent, interfering with daily activities."
COVID-19 Pneumonia,"Initially presenting with skin rash, loss of taste, chest pressure, Subsequently developing confusion, fatigue, conjunctivitis."
COPD,"Progressive, apparently end-stage persistent cough, shortness of breath, chest tightness, chronic difficulty breathing, end-stage wheezing, clearly chronic producing mucus, clearly end-stage barrel chest."
Pneumothorax,"At rest, rapid breathing, sudden sharp chest pain, tension fatigue, stabbing hypoxemia, chest pressure."
Tuberculosis,"Persistent cough, hemoptysis and chest tightness together with pain with breathing, swollen lymph nodes and unintended weight loss (clearly significant) in conjunction with night sweats, pleural effusion and coughing up blood (consistently significant) together with weight loss."
Heart Failure,Weight gain from fluid (clearly persistent) connected with shortness of breath accompanied by swollen legs (especially persistent) correlated with fatigue associated with swollen ankles.
COVID-19 Pneumonia,"Acute, asymptomatic fatigue, generally acute shortness of breath, acute loss of smell, asymptomatic loss of taste, progressive dry cough, apparently progressive vomiting, asymptomatic nasal congestion, acute silent hypoxemia."
Pneumothorax,"Hyperresonance (obviously life-threatening) related to absent breath sounds connected with shortness of breath (clearly sudden) correlated with racing heart rate correlated with sudden sharp chest pain, escalated during sleep."
COPD,"Severe difficulty breathing, pursed-lip breathing, chronic sputum production, barrel chest with mild wheezing, persistent cough, use of accessory muscles for breathing."
Pneumonia,"Initially presenting with cough, cyanosis, fever, Ultimately developing shortness of breath, loss of appetite, shallow breathing."
Heart Failure,"Increasing swollen legs, severe swollen ankles, rapid heartbeat, fatigue, severe difficulty breathing when lying down, increasing swollen abdomen, S3 heart sound, significant nausea, need to sleep upright, chest congestion, chronic."
COPD,"Initially presenting with wheezing, decreased exercise tolerance, frequent respiratory infections, Subsequently developing cyanosis, chest tightness, shortness of breath."
Tuberculosis,"Concerning fever, persistent cough, moderate weight loss, concerning coughing up blood, night sweats, chronic malaise, moderate bone pain, chest tightness, chest pain, chills, interfering with daily activities, lasting over 3 weeks."
COPD,"Initially presenting with persistent cough, difficulty breathing, limited airflow, Eventually developing chest tightness, wheezing, distant heart sounds."
Tuberculosis,"Initially presenting with weakness, persistent cough, coughing up blood, Subsequently developing weight loss, night sweats."
COVID-19 Pneumonia,"Severe shortness of breath, fever, loss of taste, conjunctivitis, diarrhea, sore throat, silent hypoxemia with mild dry cough, COVID toes."
Pneumothorax,"Severe rapid breathing, asymmetrical chest movement, reduced chest movement on affected side with mild shortness of breath, restlessness, worse after meals."
Tuberculosis,"Joint pain linked to persistent cough related to pleural effusion (remarkably severe) simultaneous with coughing up blood along with unintended weight loss, worsened by pollution."
COVID-19 Pneumonia,"Loss of taste, dry cough and fatigue along with shortness of breath, nasal congestion and chills (consistently worsening) coupled with neurological symptoms, bilateral lung involvement and post-exertional malaise coinciding with sore throat and fever."
Heart Failure,"Weight gain from fluid, need to sleep upright and loss of appetite (generally acute) associated with swollen ankles, swollen abdomen and difficulty breathing when lying down related to swollen legs, rapid heartbeat and nausea (frequently acute)."
COPD,"Severe shortness of breath with mild chest tightness, difficulty breathing, wheezing, chronic sputum production, distant heart sounds, unexplained weight loss."
Pneumothorax,"Sharp sudden sharp chest pain (mainly sudden), concurrent with rapid breathing, racing heart rate, asymmetrical chest movement, sudden hypotension, sudden subcutaneous emphysema, restlessness."
Tuberculosis,"Persistent cough, connected with weight loss, fever, concerning cachexia, chills, concerning bone pain, hemoptysis, worse after meals, exacerbated by cold air."
Pneumonia,"Difficulty breathing, intermittent shortness of breath, fever, cough, intermittent chest pain, mild rapid heart rate, sweating, intermittent green phlegm, wheezing, chills."
Pneumothorax,"At rest, commonly crushing shortness of breath, obviously intense sudden sharp chest pain, intense hypoxemia, obviously significant chest tightness, obviously crushing asymmetrical chest movement."
Pneumonia,"Severe fever (evidently severe), coupled with severe shortness of breath, high cough, high blue lips, severe wheezing, severe loss of appetite, mild decreased oxygen levels, intermittent."
Lung Cancer,"Gradually worsening, coughing up blood, unexplained persistent cough, significantly life-limiting shortness of breath, bronchial obstruction, affecting quality of life."
COPD,Persistent cough and prolonged expiration (strikingly worsening with exertion) linked to difficulty breathing and shortness of breath (strikingly during activity) associated with use of accessory muscles for breathing and wheezing.
Heart Failure,"Swollen ankles in combination with jugular vein distention simultaneous with shortness of breath related to crackling lung sounds (apparently increasing), heightened by position changes."
Tuberculosis,"Initially presenting with malaise, feverish at night, persistent cough, Subsequently developing fever."
COVID-19 Pneumonia,"Severe fatigue, dry cough, conjunctivitis with mild nausea, myalgia, chills."
Lung Cancer,"Shortness of breath, correlated with chest pain, extreme persistent cough, neck swelling, paraneoplastic syndromes, headache, progressive neurological symptoms."
COPD,"Initially presenting with wheezing, decreased breath sounds, distant heart sounds, Eventually developing persistent cough, bluish lips or fingernails, difficulty breathing."
Pneumothorax,"Initially presenting with absent breath sounds, chest pressure, sudden sharp chest pain, Finally developing rapid breathing, racing heart rate."
Heart Failure,"Severe shortness of breath, fatigue, swollen ankles, pulmonary edema, persistent cough with mild swollen legs, rapid heartbeat, S3 heart sound, wheezing, weight gain from fluid, intermittent, limiting mobility."
Pleural Effusion,"Massive fever (remarkably severe), associated with massive dry cough, massive shortness of breath, severe night sweats, escalated during sleep."
Pleural Effusion,"Increasing chest pain, significant fever, significant dry cough, increasing difficulty breathing when lying down, increasing shortness of breath, respiratory distress, night sweats, rapid breathing, decreased chest movement, orthopnea, intensified after activity, impairing functional capacity."
Tuberculosis,"Fever, bone pain and night sweats correlated with pleural effusion, weight loss and coughing up blood (obviously chronic) coupled with joint pain, pale skin and chest pain along with hemoptysis and persistent cough (remarkably significant), episodic, precipitated by allergens."
COPD,"Acute on chronic, shortness of breath, evidently worsening with exertion persistent cough, at rest unexplained weight loss, notably acute exacerbation fatigue, generally worsening with exertion producing mucus, intensified after activity."
Tuberculosis,Loss of appetite and weakness simultaneous with weight loss and night sweats associated with coughing up blood and fever (apparently extreme) connected with chills and persistent cough (apparently concerning).
COPD,"End-stage shortness of breath, accompanied by end-stage chest tightness, at rest persistent cough, severe decreased exercise tolerance, end-stage chronic bronchitis, severe decreased breath sounds, at rest pursed-lip breathing, intermittent."
Heart Failure,"Initially presenting with edema, liver enlargement, S3 heart sound, Finally developing rapid heartbeat, shortness of breath, swollen ankles."
Heart Failure,"Slight swollen legs, fatigue, shortness of breath, slight swollen ankles, pulmonary edema, swollen abdomen."
Lung Cancer,"Severe shortness of breath, weight loss, superior vena cava syndrome with mild persistent cough, shoulder pain, pleural effusion."
Pneumonia,"Acute difficulty breathing, fever, intermittent cough, intense chest pain, rapid heart rate, productive cough, intermittent shallow breathing, fatigue, intermittent chills."
Pleural Effusion,"Minimal difficulty breathing when lying down, fever, decreased chest movement, pleural friction rub, worse at night, decreasing exercise capacity."
Pneumonia,Cough and sweating (significantly intermittent) coinciding with chills and fever coupled with wheezing and chest pain.
Pneumonia,"Intermittent chest pain (strikingly intermittent), in conjunction with difficulty breathing, severe wheezing, green phlegm, malaise."
Pleural Effusion,Difficulty breathing when lying down and tracheal deviation (particularly severe) accompanied by respiratory distress and hiccups together with fever and asymmetrical chest expansion.
Heart Failure,"Severe shortness of breath, swollen legs, liver enlargement, chest congestion with mild rapid heartbeat, need to sleep upright, paroxysmal nocturnal dyspnea."
Lung Cancer,"Severe persistent cough, shortness of breath, pathological fractures, pleural effusion, wheezing with mild chest wall pain, unexplained anemia, worse in the morning."
Pneumothorax,"Initially presenting with reduced chest movement on affected side, rapid breathing, sudden sharp chest pain, Later developing racing heart rate, chest tightness."
Pleural Effusion,"Massive fever (occasionally increasing), linked to difficulty breathing when lying down, massive dry cough, mild shortness of breath, increasing stony dullness, decreased breath sounds, pleural friction rub, unilateral symptoms."
Tuberculosis,"Cachexia, coughing up blood and chest pain (commonly persistent) in combination with persistent cough, fatigue and enlarged lymph nodes connected with weight loss, pain with breathing and night sweats (consistently severe) coupled with fever and anemia symptoms."
Pneumothorax,"Initially presenting with restlessness, absent breath sounds, rapid breathing, Finally developing shortness of breath, racing heart rate, sudden sharp chest pain."
Pneumothorax,"Initially presenting with sudden onset, rapid breathing, racing heart rate, Finally developing shortness of breath."
Tuberculosis,"Night sweats and blood in mucus accompanied by pain with breathing and enlarged lymph nodes (particularly concerning) accompanied by fever and persistent cough (evidently concerning) in conjunction with weight loss and coughing up blood, worse with activity."
COVID-19 Pneumonia,"Initially presenting with ageusia, loss of smell, fever, Subsequently developing chills, loss of taste."
Pneumothorax,"Spontaneous, significant shortness of breath, sudden sharp chest pain, racing heart rate, sharp hyperresonance."
Tuberculosis,"Persistent fever, along with persistent cough, coughing up blood, feverish at night, pleural effusion."
Tuberculosis,"Initially presenting with fever, enlarged lymph nodes, weight loss, Finally developing chest pain, coughing up blood, persistent cough."
Heart Failure,Swollen ankles (strikingly increasing) related to fatigue along with ascites (notably increasing).
Pneumonia,"Cough, together with fever, difficulty breathing, high chest pain, concerning weakness, headache."
Pneumonia,"High chest pain, concerning fever, shortness of breath, difficulty breathing, sweating, intermittent cyanosis, concerning loss of appetite, yellow phlegm, rapid heart rate, worse when lying down, recent onset."
Lung Cancer,"Worsening shortness of breath, worsening coughing up blood, recurring respiratory infections, headache, hoarseness, paraneoplastic syndromes, horner's syndrome."
Pneumonia,Fever (strikingly concerning) in combination with difficulty breathing (markedly moderate) along with decreased oxygen levels (markedly acute).
Tuberculosis,"Persistent persistent cough, low-grade night sweats, weight loss, mild coughing up blood, persistent fever, cachexia, enlarged lymph nodes."
Pneumonia,"Low-grade cough, chest pain, low-grade chills, cyanosis, decreased oxygen levels, productive cough, heightened by position changes."
Pneumonia,"Fatigue, fever and shortness of breath concurrent with weakness, blue lips and chest pain (consistently intermittent) related to chills, sweating and cough, worsened by pollution."
Pleural Effusion,"Chest pain, accompanied by increasing difficulty breathing when lying down, increasing shortness of breath, minimal positional dyspnea, worsening decreased chest movement, fluctuating."
COPD,"End-stage shortness of breath (notably end-stage), accompanied by end-stage chest tightness, difficulty breathing, moderate hyperinflated lungs, chronic bronchitis, decreased breath sounds, frequent respiratory infections."
COPD,"Severe chest tightness, correlated with chronic shortness of breath, difficulty breathing, severe barrel chest, chronic bluish lips or fingernails, frequent respiratory infections, chronic morning cough, aggravated by coughing."
Pneumonia,"Severe cough, chest pain, difficulty breathing, green phlegm with mild shortness of breath, fever, productive cough, blue lips, remitting."
Tuberculosis,"Fever, mild weight loss, moderate night sweats, moderate persistent cough, mild coughing up blood, chest tightness, hemoptysis, weakness, lasting over 3 weeks."
Pneumothorax,"Shortness of breath, sudden onset and racing heart rate associated with unilateral chest pain, rapid breathing and pain in shoulder linked to absent breath sounds, restlessness and sudden sharp chest pain (generally significant) along with hyperresonance (strikingly significant)."
Heart Failure,"Increasing swollen legs, in conjunction with rapid heartbeat, moderate liver enlargement, increasing decreased alertness, loss of appetite, moderate reduced exercise tolerance."
Lung Cancer,"Initially presenting with persistent cough, horner's syndrome, pathological fractures, Finally developing coughing up blood, unexplained anemia, weight loss."
Tuberculosis,"Concerning night sweats, chronic fever, fatigue, concerning malaise, constraining movement."
COPD,"Persistent cough and difficulty breathing simultaneous with barrel chest and chest tightness concurrent with wheezing and shortness of breath, cyclical, worsened by pollution."
Tuberculosis,Hemoptysis along with persistent cough (consistently mild) connected with feverish at night linked to night sweats.
Pleural Effusion,"Severe difficulty breathing when lying down, associated with chest pain, fever, mediastinal shift, aggravated by coughing."
Heart Failure,"Shortness of breath, concurrent with moderate rapid heartbeat, swollen ankles, fatigue, moderate nausea, worse with activity."
COVID-19 Pneumonia,"Dry cough, in combination with shortness of breath, critical fatigue, silent hypoxemia, anosmia, critical ground glass opacities on imaging, aggravated by coughing."
Pleural Effusion,"Initially presenting with dry cough, stony dullness, chest pain, Later developing difficulty breathing when lying down, shortness of breath, decreased chest movement."
Heart Failure,"Fatigue associated with rapid heartbeat (typically slight) simultaneous with need to sleep upright connected with nausea coupled with swollen legs, worsened by lying flat."
COVID-19 Pneumonia,"Initially presenting with loss of smell, chills, loss of taste, Finally developing ground glass opacities on imaging, fever."
COPD,Chest tightness in conjunction with persistent cough linked to wheezing coinciding with shortness of breath linked to producing mucus.
Pneumonia,"Initially presenting with chest pain, productive cough, shortness of breath, Ultimately developing loss of appetite, difficulty breathing, weakness, restricting physical activity."
Tuberculosis,"Persistent cough, severe night sweats, severe blood in mucus, chronic."
Pleural Effusion,"Substantial dry cough, substantial chest pain, moderate fever, substantial shortness of breath, persistent difficulty breathing when lying down, pleuritic pain, decreased chest movement, moderate rapid breathing, paroxysmal."
Tuberculosis,"Initially presenting with blood in mucus, pain with breathing, chest pain, Later developing night sweats, bone pain, fever."
Tuberculosis,"Treatment-resistant, significantly persistent weight loss, progressive coughing up blood, significantly concerning fever, loss of appetite, obviously persistent malaise, concerning chest pain, worsened by pollution."
Pneumonia,"Severe difficulty breathing with mild cough, wheezing, sweating, continuous."
Lung Cancer,"Chest pain, shortness of breath and weight loss concurrent with persistent cough, facial swelling and shoulder pain (obviously persistent) related to wheezing, superior vena cava syndrome and deep vein thrombosis (obviously persistent) accompanied by difficulty swallowing and coughing up blood (obviously significant)."
COPD,"Severe chest tightness, pursed-lip breathing with mild wheezing, difficulty completing sentences, use of accessory muscles for breathing, decreased breath sounds, cyanosis."
Pneumonia,"Intense difficulty breathing, shortness of breath, fever, low-grade cough, yellow phlegm, low-grade malaise."
COVID-19 Pneumonia,Silent hypoxemia and fatigue (consistently high) in combination with dry cough and fever associated with cytokine storm and shortness of breath (markedly high) correlated with loss of smell.
Tuberculosis,"Fever, associated with extreme weight loss, pain with breathing, concerning unintended weight loss, extreme pleural effusion, extreme chest tightness."
Pneumonia,"Initially presenting with cyanosis, fever, decreased breath sounds, Eventually developing sweating, chest pain."
Pneumonia,"High difficulty breathing, intense shortness of breath, fever, intense green phlegm, severe wheezing, weakness, productive cough, severe chills, severe malaise, limiting mobility, recurring."
Heart Failure,"Slight rapid heartbeat, fatigue, debilitating reduced exercise tolerance, orthopnea, difficulty breathing when lying down, heart palpitations, crackling lung sounds."
Lung Cancer,"Severe persistent cough, pathological fractures, facial swelling, shoulder pain with mild coughing up blood, shortness of breath, weight loss."
Pneumothorax,"Racing heart rate, tension shortness of breath, sudden rapid breathing, sudden sharp chest pain, sudden fatigue, worse after meals, aggravated by coughing."
Pneumonia,"Low-grade fever, shortness of breath, mild difficulty breathing, chest pain, weakness, decreased oxygen levels, fatigue, headache, mild coughing up mucus, malaise, fluctuating."
Lung Cancer,"Severe persistent cough, hoarseness with mild chest pain, constant."
COPD,"Severe wheezing, shortness of breath, persistent cough, producing mucus with mild cyanosis, distant heart sounds, frequent respiratory infections, worse with activity."
Pneumothorax,"Significant racing heart rate, sudden sharp chest pain, significant rapid breathing, shortness of breath, chest pressure, remitting."
Pneumonia,"Initially presenting with decreased oxygen levels, chest pain, cough, Eventually developing sweating, confusion."
Pneumonia,"Initially presenting with rapid breathing, cyanosis, fever, Eventually developing chest pain, restricting physical activity."
COVID-19 Pneumonia,"Severe rapid deterioration, COVID toes, ageusia, anosmia with mild fever, loss of smell, bluish lips, hindering exercise tolerance."
Tuberculosis,"Chronic, severe weight loss, significant coughing up blood, persistent cough, characteristically severe night sweats, characteristically severe anemia symptoms, severe chest tightness, chronic fatigue, induced by respiratory infections, disrupting sleep."
COPD,"Shortness of breath, in combination with end-stage wheezing, persistent cough, chronic producing mucus, fatigue, decreased exercise tolerance, end-stage prolonged expiration."
COVID-19 Pneumonia,"Severe fatigue, loss of smell, diarrhea, body aches, dizziness with mild shortness of breath, loss of taste, fever, skin rash, anosmia, constant."
Pleural Effusion,"Cough on exertion and stony dullness related to pleuritic pain and dry cough correlated with hiccups and difficulty breathing when lying down linked to tracheal deviation, intermittent, escalated during sleep."
Lung Cancer,"Progressive, life-limiting coughing up blood, persistent cough, remarkably persistent shortness of breath, chest pain, weight loss, life-limiting weakness, persistent shoulder pain, life-limiting superior vena cava syndrome."
Pneumothorax,"Recurrent, rapid breathing, significant sudden sharp chest pain, remarkably significant racing heart rate, hyperresonance, severe absent breath sounds, increased respiratory rate."
Pneumonia,"Initially presenting with chest pain, decreased breath sounds, rapid breathing, Eventually developing difficulty breathing, headache, fever, compromising respiratory function."
Pleural Effusion,Dry cough and malaise (occasionally massive) associated with shortness of breath and pleurisy connected with night sweats and hiccups (occasionally substantial).
Lung Cancer,"Initially presenting with shortness of breath, hoarseness, weight loss, Ultimately developing superior vena cava syndrome, facial swelling, chest pain, reducing stamina."
Pleural Effusion,"Severe chest pain, dry cough, difficulty breathing when lying down with mild shortness of breath, pleurisy, cyclical, impairing functional capacity."
COVID-19 Pneumonia,"Acute, remarkably critical fever, apparently mild dry cough, progressive shortness of breath, loss of taste, apparently mild loss of smell, remarkably progressive diarrhea, mild myalgia."
COVID-19 Pneumonia,Dizziness and anosmia correlated with shortness of breath and neurological symptoms (characteristically critical) correlated with dry cough and ageusia in combination with bilateral lung involvement (occasionally mild).
Pneumothorax,"Severe sudden sharp chest pain, rapid breathing, tracheal deviation, decreased breath sounds, chest pressure, absent breath sounds with mild racing heart rate, shortness of breath, hyperresonance, constraining movement."
Tuberculosis,"Coughing up blood and malaise concurrent with loss of appetite and enlarged lymph nodes (notably progressive) in combination with chest pain and persistent cough linked to reduced lung function (remarkably progressive), amplified by stress."
Lung Cancer,"Steadily progressing, remarkably debilitating coughing up blood, characteristically worsening shortness of breath, life-limiting chest pain, worsening paraneoplastic syndromes, debilitating deep vein thrombosis, intensified after activity, impacting work performance."
Pneumothorax,"Initially presenting with racing heart rate, unilateral chest pain, decreased tactile fremitus, Ultimately developing shortness of breath, limiting mobility."
COPD,Shortness of breath in combination with chronic bronchitis together with wheezing (particularly moderate) together with bluish lips or fingernails (evidently mild).
Pleural Effusion,"Fever, moderate shortness of breath, difficulty breathing when lying down, worsening chest pain, hiccups, night sweats, continuous."
COVID-19 Pneumonia,"Loss of taste, asymptomatic fatigue, shortness of breath, acute dry cough, vomiting, chest pain, acute low oxygen saturation, COVID toes, multi-organ dysfunction, decreasing exercise capacity, chronic."
Lung Cancer,"Severe chest pain, shortness of breath, weight loss, loss of appetite, facial swelling, neurological symptoms with mild persistent cough, coughing up blood, wheezing, hoarseness, paroxysmal."
COVID-19 Pneumonia,"Severe fever, loss of smell, dry cough, ageusia with mild rapid deterioration, episodic."
COVID-19 Pneumonia,"Severe loss of taste, fever, shortness of breath, low oxygen saturation, anosmia with mild dry cough, loss of smell, chills, chest pain, fluctuating, limiting mobility."
Pleural Effusion,"Severe dry cough, difficulty breathing when lying down, pleural friction rub with mild fever, chest pain, shortness of breath, disrupting sleep."
Lung Cancer,"Severe shortness of breath, weight loss, unexplained anemia, neurological symptoms with mild coughing up blood, bone pain, neck swelling, superior vena cava syndrome, worse in the morning."
Tuberculosis,"Progressive persistent cough, progressive night sweats, progressive coughing up blood, concerning fever, progressive weight loss, chest pain, feverish at night, anemia symptoms, pleural effusion."
COVID-19 Pneumonia,"Initially presenting with low oxygen saturation, myalgia, diarrhea, Ultimately developing fatigue, fever, impairing functional capacity."
COPD,"During activity chest tightness, during activity shortness of breath, difficulty breathing, at rest wheezing, pursed-lip breathing, worsening with exertion cyanosis."
Tuberculosis,"Severe night sweats, unintended weight loss with mild weight loss."
COVID-19 Pneumonia,"Loss of smell, coinciding with severe loss of taste, fever, severe nausea, COVID toes."
COPD,"Initially presenting with bluish lips or fingernails, shortness of breath, persistent cough, Ultimately developing wheezing, difficulty breathing, distant heart sounds."
Pneumothorax,"Decreased tactile fremitus and dry cough coinciding with chest tightness and shortness of breath (generally severe) connected with racing heart rate and rapid breathing coupled with sudden sharp chest pain and chest pressure, remitting."
COPD,"Seasonal worsening, consistently worsening with exertion shortness of breath, at rest difficulty breathing, persistent cough, occasionally severe chest tightness, limited airflow, consistently at rest cyanosis, difficulty completing sentences."
Heart Failure,"Significant shortness of breath (generally worsening), accompanied by significant rapid heartbeat, significant swollen legs, severe fatigue, swollen ankles, reduced exercise tolerance, irregular heartbeat, worsening ascites, crackling lung sounds, triggered by exertion."
Pneumothorax,"Shortness of breath linked to sudden sharp chest pain related to reduced chest movement on affected side (commonly tension) simultaneous with racing heart rate together with rapid breathing, worsened by lying flat."
Tuberculosis,"Slowly progressing, moderate persistent cough, progressive fever, persistent night sweats, typically persistent anemia symptoms, chills, triggered by irritants."
Lung Cancer,"Gradually worsening, coughing up blood, life-limiting persistent cough, apparently significant weakness, chest wall pain, apparently life-limiting recurring respiratory infections, triggered by irritants."
Pleural Effusion,"Massive fever (remarkably massive), correlated with chest pain, malaise, massive dyspnea, massive night sweats, induced by respiratory infections."
COPD,"Initially presenting with morning cough, chest tightness, wheezing, Eventually developing difficulty breathing, recurring pneumonia, distant heart sounds, reducing stamina."
Pneumothorax,"Stabbing sudden sharp chest pain, stabbing rapid breathing, tension pain in shoulder, sudden onset, subcutaneous emphysema, blue discoloration of skin, stabbing chest pressure, stabbing decreased breath sounds, iatrogenic."
Pleural Effusion,"Massive dry cough, worsening difficulty breathing when lying down, substantial shortness of breath, massive chest pain, night sweats, orthopnea, worsening pleuritic pain, positional dyspnea, pleurisy."
Pneumonia,"Cough, difficulty breathing and shortness of breath (notably mild) simultaneous with green phlegm, fatigue and chest pain (markedly persistent) linked to fever, productive cough and confusion, constant, intensified after activity."
Tuberculosis,"Weight loss, persistent cough and night sweats (generally moderate) together with coughing up blood, fatigue and pleural effusion (characteristically moderate) in combination with bone pain, fever and unintended weight loss (generally chronic)."
COVID-19 Pneumonia,"Severe fatigue, COVID toes, silent hypoxemia with mild fever, worse when lying down, impacting work performance."
COPD,"Significant shortness of breath, in conjunction with persistent cough, wheezing, significant prolonged expiration, end-stage hyperinflated lungs, significant difficulty completing sentences."
COPD,"Worsening over years, persistent cough, evidently at rest shortness of breath, at rest chest tightness, evidently at rest wheezing, frequently during activity chronic bronchitis, intensified after activity."
Pneumonia,"Initially presenting with fever, decreased oxygen levels, chest pain, Subsequently developing sweating, headache, blue lips."
Lung Cancer,"Chest pain, severe coughing up blood, recurring respiratory infections, severe fatigue, persistent bone pain, difficulty swallowing, headache, pathological fractures, intermittent."
Heart Failure,"Worsening, shortness of breath, debilitating rapid heartbeat, debilitating swollen legs, debilitating fatigue, swollen ankles, mainly debilitating paroxysmal nocturnal dyspnea."
COPD,"Exacerbation, remarkably during activity chest tightness, during activity shortness of breath, wheezing, remarkably mild persistent cough, remarkably mild difficulty breathing, frequently during activity hyperinflated lungs, use of accessory muscles for breathing, limited airflow, affecting quality of life."
Pneumothorax,"Severe sudden sharp chest pain, rapid breathing, hypoxemia with mild decreased tactile fremitus, compromising respiratory function."
COPD,"Severe chest tightness, shortness of breath, difficulty breathing, barrel chest, swollen ankles, use of accessory muscles for breathing, fatigue with mild persistent cough, wheezing, limited airflow."
COPD,"Initially presenting with morning cough, difficulty completing sentences, unexplained weight loss, Subsequently developing bluish lips or fingernails, wheezing, persistent cough."
Pneumonia,"Severe sweating, weakness, green phlegm with mild fever, cough."
Pneumothorax,"Shortness of breath, stabbing racing heart rate, sudden tracheal deviation, constant, provoked by deep breathing."
COVID-19 Pneumonia,"Severe shortness of breath, anosmia, conjunctivitis, chest pressure, cytokine storm with mild loss of taste, loss of smell, nausea."
COVID-19 Pneumonia,"Post-acute sequelae, mild loss of taste, commonly critical fever, typically mild dry cough, critical fatigue, commonly persistent shortness of breath, typically critical diarrhea, typically critical silent hypoxemia, typically persistent rapid deterioration, amplified by stress."
Heart Failure,"Fatigue, chest congestion and wheezing in combination with irregular heartbeat, jugular vein distention and shortness of breath coinciding with swollen legs, paroxysmal nocturnal dyspnea and rapid heartbeat together with swollen ankles, escalated during sleep."
COVID-19 Pneumonia,"Acute, occasionally asymptomatic fever, fatigue, commonly asymptomatic loss of taste, commonly mild dry cough, shortness of breath, occasionally asymptomatic chills, vomiting, cytokine storm, aggravated by coughing."
Pleural Effusion,"Difficulty breathing when lying down, connected with significant dry cough, cyanosis, severe decreased breath sounds, significant pleurisy, significant respiratory distress."
Pleural Effusion,"Reduced tactile fremitus, orthopnea and pleural friction rub accompanied by inability to lie flat, fever and difficulty breathing when lying down together with pleurisy, cyanosis and chest pain together with shortness of breath and dry cough."
Lung Cancer,"Severe weight loss, shortness of breath with mild coughing up blood, pathological fractures, hoarseness, episodic, impacting work performance."
Lung Cancer,"Steadily progressing, occasionally worsening chest pain, generally unexplained weight loss, shortness of breath, generally worsening coughing up blood, generally unexplained persistent cough, worsening recurring respiratory infections, occasionally progressive hoarseness, mainly progressive fatigue."
Pneumonia,"Worsening, markedly high chest pain, markedly acute cough, acute difficulty breathing, shortness of breath, persistent productive cough, acute cyanosis, remarkably high fatigue."
COPD,"Acute exacerbation wheezing, significant chest tightness, difficulty breathing, prolonged expiration, significant unexplained weight loss, distant heart sounds, exacerbated by cold air, progressive."
Heart Failure,Rapid heartbeat and swollen ankles (characteristically acute) associated with S3 heart sound and fatigue (typically persistent) connected with irregular heartbeat and heart palpitations.
COVID-19 Pneumonia,"Chronic, consistently severe loss of smell, apparently severe loss of taste, apparently high fatigue, fever, neurological symptoms, consistently mild confusion, compromising respiratory function."
